analyzer,asset,confidence,created_at,error,evidence,model_name,model_version,news_id,raw_response_sha256,relevance,score,sentiment,status
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,e09999244e513d50fd1f87f9b8b999a4b312b677feb5c853242a693b621e1d51,,0.8,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,136881c1484814663c2b5015518d5ae44d9eb446e417b09f898ce1ed215c24f5,,0.95,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,d495b81e5c4493c4f094ea643cf19eb4cee600bf4f62374edc4b68aa52ee14e3,,0.8,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,73b074df5afb5283579a5dc3987c3d0be1b484ddae28648b47002fc43f1571a7,,0.8,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:41:59.106870+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,6935d3e2668a207ce013401b9db717d6ad1c3c240479766fdacf1cb91af2e680,,0.95,0.0,0,ok
structured_llm,ETH-USD,0.9,2026-09-21T19:41:59.106870+00:00,,"[""30 Ethereum ETFs""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,e09999244e513d50fd1f87f9b8b999a4b312b677feb5c853242a693b621e1d51,d243c73d8244ff322204df471c003cb2aa0a20c37c4488b858bb4298ee162708,0.8,0.0,0,ok
structured_llm,ETH-USD,0.95,2026-09-21T19:41:59.106870+00:00,,"[""Ethereum"", ""Tumble""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,136881c1484814663c2b5015518d5ae44d9eb446e417b09f898ce1ed215c24f5,7fa638970daabb6aae5239e7f4baa3e56bd285aa75ac27d50fefd37057734fe1,1.0,-0.8,-1,ok
structured_llm,ETH-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 1830. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,d495b81e5c4493c4f094ea643cf19eb4cee600bf4f62374edc4b68aa52ee14e3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
structured_llm,ETH-USD,0.95,2026-09-21T19:41:59.106870+00:00,,"[""Ethereum"", ""Jumped 5.8%""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,73b074df5afb5283579a5dc3987c3d0be1b484ddae28648b47002fc43f1571a7,0e39fe6c0a1f9cbeee2417c507d0eb9fe2533865b85d9801caedcc15541008f1,1.0,0.6,1,ok
structured_llm,ETH-USD,,2026-09-21T19:41:59.106870+00:00,"RateLimitError: Error code: 429 - {'error': {'message': ""Request too large for model `qwen/qwen3.8-27b` in organization `org_01ksa6n5sbft7tmcf1ww7r78tj` service tier `on_demand` on output tokens per minute (OTPM): Limit 1000, Requested 2012. The request's expected output tokens exceed the enforced limit; reduce max_tokens (or the request's expected output) and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing"", 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",[],qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,6935d3e2668a207ce013401b9db717d6ad1c3c240479766fdacf1cb91af2e680,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,error
