analyzer,asset,confidence,created_at,error,evidence,model_name,model_version,news_id,raw_response_sha256,relevance,score,sentiment,status
lexicon_baseline,BTC-USD,0.55,2026-09-21T17:50:39.269831+00:00,,"[""positive:rally"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,74116f98ff57c0bdbf9b2aa78b5b0fe649729e0961f3bf4c6ce1260dc709fb22,,0.95,1.0,1,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:50:39.269831+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,798a8c99076594e2ef7f9fab4b1a2bb1895c36323b78f2a8be39702aa61ea780,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:50:39.269831+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,c7658270f4321a0f6c9d9da02959e94be137f28bbeebc0b68c581524d6c7c9b5,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:50:39.269831+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,3fe23f7dc6ea7894a9a6f089870f5b15574fd04cb3abee19ef7a48122927a3bc,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:50:39.269831+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,66be9ee3220d26f15c8b4b1cd9a3cf7442ce7ba15c66f47b3f778be4766e1788,,0.8,0.0,0,ok
structured_llm,BTC-USD,0.9,2026-09-21T17:50:39.269831+00:00,,"[""Bitcoin Rally Stalls"", ""Optimism About US Crypto Bill Wanes""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,74116f98ff57c0bdbf9b2aa78b5b0fe649729e0961f3bf4c6ce1260dc709fb22,ebd7eadc54ae4c7d5e78d14cbb87a3f80076865b321d29d71e110106a365e71b,1.0,-0.6,-1,ok
structured_llm,BTC-USD,1.0,2026-09-21T17:50:39.269831+00:00,,"[""Current price of Bitcoin""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,798a8c99076594e2ef7f9fab4b1a2bb1895c36323b78f2a8be39702aa61ea780,8205cba55d96322e265e343d06c748cf4caa70971becdfda0b270ab0f124cea1,0.8,0.0,0,ok
structured_llm,BTC-USD,0.9,2026-09-21T17:50:39.269831+00:00,,"[""Bitcoin"", ""Emotional Tether"", ""Lost Boy""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,c7658270f4321a0f6c9d9da02959e94be137f28bbeebc0b68c581524d6c7c9b5,1529d9d716e873c1438903177a0a083d3dccea606758041c9324f4b9934c1ba2,0.8,0.0,0,ok
structured_llm,BTC-USD,0.95,2026-09-21T17:50:39.269831+00:00,,"[""Bitcoin hits highest level since January at $85,000""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,3fe23f7dc6ea7894a9a6f089870f5b15574fd04cb3abee19ef7a48122927a3bc,1b51e5dd2e668e42b764e8306af99ec12183332d9fd4bc1c034b228156e1e84f,1.0,0.8,1,ok
structured_llm,BTC-USD,0.95,2026-09-21T17:50:39.269831+00:00,,"[""Bitcoin Jumps Above $85,000"", ""8-Month High""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,66be9ee3220d26f15c8b4b1cd9a3cf7442ce7ba15c66f47b3f778be4766e1788,1c7e04d4a0803b0850c630c60d9df61db9a61f8e9a730f4b14d6a61dfa34ed04,1.0,0.9,1,ok
