analyzer,asset,confidence,created_at,error,evidence,model_name,model_version,news_id,raw_response_sha256,relevance,score,sentiment,status
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:48:05.298582+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,e09999244e513d50fd1f87f9b8b999a4b312b677feb5c853242a693b621e1d51,,0.8,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:48:05.298582+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,136881c1484814663c2b5015518d5ae44d9eb446e417b09f898ce1ed215c24f5,,0.95,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:48:05.298582+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,d495b81e5c4493c4f094ea643cf19eb4cee600bf4f62374edc4b68aa52ee14e3,,0.8,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:48:05.298582+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,5119f91f4c37d68aa17300e98d262e632fe967ccc716a8758573c5f287413729,,0.95,0.0,0,ok
lexicon_baseline,ETH-USD,0.35,2026-09-21T19:48:05.298582+00:00,,"[""asset:ethereum""]",financial_bilingual_lexicon,financial-bilingual-1.0,73b074df5afb5283579a5dc3987c3d0be1b484ddae28648b47002fc43f1571a7,,0.8,0.0,0,ok
structured_llm,ETH-USD,0.9,2026-09-21T19:48:05.298582+00:00,,"[""30 Ethereum ETFs""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,e09999244e513d50fd1f87f9b8b999a4b312b677feb5c853242a693b621e1d51,d243c73d8244ff322204df471c003cb2aa0a20c37c4488b858bb4298ee162708,0.8,0.0,0,ok
structured_llm,ETH-USD,0.95,2026-09-21T19:48:05.298582+00:00,,"[""Ethereum"", ""Tumble""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,136881c1484814663c2b5015518d5ae44d9eb446e417b09f898ce1ed215c24f5,7fa638970daabb6aae5239e7f4baa3e56bd285aa75ac27d50fefd37057734fe1,1.0,-0.8,-1,ok
structured_llm,ETH-USD,0.9,2026-09-21T19:48:05.298582+00:00,,"[""Ethereum developers warn"", ""any teenager"", ""could disrupt"", ""upcoming Glamsterdam test""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,d495b81e5c4493c4f094ea643cf19eb4cee600bf4f62374edc4b68aa52ee14e3,0888f8003af41238e16bb7fba32ada451811c1f1a9694891e55c694d9492d377,1.0,-0.6,-1,ok
structured_llm,ETH-USD,1.0,2026-09-21T19:48:05.298582+00:00,,"[""Current price of Ethereum""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,5119f91f4c37d68aa17300e98d262e632fe967ccc716a8758573c5f287413729,a1b8b073374599bcd827ed5d124ecaf7c9e25cb64f5a0375358ecea2dc11013f,1.0,0.0,0,ok
structured_llm,ETH-USD,0.95,2026-09-21T19:48:05.298582+00:00,,"[""Ethereum"", ""Jumped 5.8%""]",qwen/qwen3.8-27b,qwen/qwen3.8-27b|sentiment-json-v1,73b074df5afb5283579a5dc3987c3d0be1b484ddae28648b47002fc43f1571a7,0e39fe6c0a1f9cbeee2417c507d0eb9fe2533865b85d9801caedcc15541008f1,1.0,0.6,1,ok
