analyzer,asset,confidence,created_at,error,evidence,model_name,model_version,news_id,raw_response_sha256,relevance,score,sentiment,status
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,2156f82f62649ac35daf1dae15fa313aada90f08b4281f63eb9361ccb692aae3,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,cede8e7245320f06f8fe4c805db66be16910c4dedf090db8bbb4d13976048266,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,6fc8507533b3bf5dd3805680914dc37642cdade1af9def0bbc5f5acb2e85a1fa,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,c9a017d1e5d5f93a6a96eafcaf128170e5f24a7708df53c515827d0ae5f4fd56,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,6221714252179c9f27551b5aa1b9351c24062848c918f423db233585ec402421,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,b155e512004e562e012dc1d2058f746728ee8e6113f21614b243ff2898832518,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,114f8c47caaa4c489af1d4f71570fcb5df44acfcb0f05fb4a3f895a924265fb1,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,d4a500e9796c333c2ccd41f1c4aac65a6023efa8afa8aec0a433934b2c51d432,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin"", ""asset:btc""]",financial_bilingual_lexicon,financial-bilingual-1.0,0b9ac13463adc8d717c042503a66ef9182b903824654bf924b9ee74899f02ddb,,0.95,0.0,0,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,e03d4e51fef064780abef2878eba9dd268fbc861a9ac9d9423fc686a2a51014e,,0.8,0.0,0,ok
lexicon_baseline,BTC-USD,0.55,2026-09-21T17:42:32.444880+00:00,,"[""positive:rally"", ""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,74116f98ff57c0bdbf9b2aa78b5b0fe649729e0961f3bf4c6ce1260dc709fb22,,0.95,1.0,1,ok
lexicon_baseline,BTC-USD,0.35,2026-09-21T17:42:32.444880+00:00,,"[""asset:bitcoin""]",financial_bilingual_lexicon,financial-bilingual-1.0,d41aafbb74dbcd3d30f9bd94b5fe6e465962dcc218f431ae716bd65db75991d2,,0.8,0.0,0,ok
